lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
15.2631578947368,1.37894736842105,Male,AV Replacement + CAB,0.02949,0.20237,0.00182,0.0958,0.01387,0.11611,0.04557,0.1009,0.29633
15.2631578947368,1.37894736842105,Female,AV Replacement + CAB,0.04093,0.23852,0.00213,0.12779,0.01645,0.17043,0.05576,0.09477,0.19747
15.2631578947368,1.49473684210526,Male,AV Replacement + CAB,0.03101,0.21212,0.00182,0.10004,0.01425,0.12072,0.04986,0.10352,0.28495
15.2631578947368,1.49473684210526,Female,AV Replacement + CAB,0.04302,0.24947,0.00213,0.13324,0.01689,0.17677,0.06095,0.09725,0.18887
15.2631578947368,1.61052631578947,Male,AV Replacement + CAB,0.0326,0.22221,0.00182,0.10445,0.01464,0.12549,0.05453,0.1062,0.27384
15.2631578947368,1.61052631578947,Female,AV Replacement + CAB,0.04521,0.26074,0.00213,0.13889,0.01735,0.18329,0.06659,0.09978,0.18056
15.2631578947368,1.72631578947368,Male,AV Replacement + CAB,0.03428,0.23264,0.00182,0.10903,0.01503,0.13041,0.05961,0.10893,0.26301
15.2631578947368,1.72631578947368,Female,AV Replacement + CAB,0.0475,0.27235,0.00213,0.14473,0.01782,0.19,0.07271,0.10237,0.17254
15.2631578947368,1.84210526315789,Male,AV Replacement + CAB,0.03604,0.2434,0.00182,0.11378,0.01544,0.13551,0.06514,0.11173,0.25245
15.2631578947368,1.84210526315789,Female,AV Replacement + CAB,0.0499,0.28427,0.00213,0.15078,0.01831,0.19689,0.07935,0.10502,0.1648
15.2631578947368,1.95789473684211,Male,AV Replacement + CAB,0.03788,0.2545,0.00182,0.11871,0.01586,0.14077,0.07113,0.11459,0.24218
15.2631578947368,1.95789473684211,Female,AV Replacement + CAB,0.05242,0.2965,0.00213,0.15703,0.0188,0.20397,0.08653,0.10773,0.15734
15.2631578947368,2.07368421052632,Male,AV Replacement + CAB,0.03982,0.26592,0.00182,0.12383,0.0163,0.14619,0.07764,0.11752,0.23219
15.2631578947368,2.07368421052632,Female,AV Replacement + CAB,0.05506,0.30902,0.00213,0.1635,0.01931,0.21123,0.0943,0.1105,0.15016
15.2631578947368,2.18947368421053,Male,AV Replacement + CAB,0.04185,0.27767,0.00182,0.12914,0.01674,0.15179,0.08468,0.12051,0.2225
15.2631578947368,2.18947368421053,Female,AV Replacement + CAB,0.05782,0.32184,0.00213,0.17017,0.01984,0.21869,0.10269,0.11333,0.14326
15.2631578947368,2.30526315789474,Male,AV Replacement + CAB,0.04398,0.28973,0.00182,0.13463,0.01719,0.15757,0.0923,0.12356,0.2131
15.2631578947368,2.30526315789474,Female,AV Replacement + CAB,0.06071,0.33493,0.00213,0.17706,0.02037,0.22633,0.11173,0.11623,0.13662
15.2631578947368,2.42105263157895,Male,AV Replacement + CAB,0.04622,0.30209,0.00182,0.14033,0.01766,0.16352,0.10053,0.12668,0.20399
15.2631578947368,2.42105263157895,Female,AV Replacement + CAB,0.06374,0.34828,0.00213,0.18417,0.02092,0.23416,0.12146,0.11919,0.13024
15.2631578947368,2.53684210526316,Male,AV Replacement + CAB,0.04856,0.31474,0.00182,0.14622,0.01814,0.16965,0.10939,0.12987,0.19519
15.2631578947368,2.53684210526316,Female,AV Replacement + CAB,0.0669,0.36186,0.00213,0.19149,0.02149,0.24216,0.1319,0.12221,0.12412
15.2631578947368,2.65263157894737,Male,AV Replacement + CAB,0.05101,0.32768,0.00182,0.15232,0.01863,0.17596,0.11895,0.13312,0.18666
15.2631578947368,2.65263157894737,Female,AV Replacement + CAB,0.07021,0.37567,0.00213,0.19903,0.02207,0.25036,0.1431,0.12531,0.11824
15.2631578947368,2.76842105263158,Male,AV Replacement + CAB,0.05358,0.34089,0.00182,0.15862,0.01914,0.18246,0.12921,0.13645,0.17843
15.2631578947368,2.76842105263158,Female,AV Replacement + CAB,0.07367,0.38969,0.00213,0.2068,0.02267,0.25874,0.15508,0.12846,0.11261
15.2631578947368,2.88421052631579,Male,AV Replacement + CAB,0.05627,0.35435,0.00182,0.16514,0.01965,0.18914,0.14022,0.13984,0.17048
15.2631578947368,2.88421052631579,Female,AV Replacement + CAB,0.07729,0.4039,0.00213,0.21479,0.02328,0.26731,0.16788,0.13169,0.10721
15.2631578947368,3,Male,AV Replacement + CAB,0.05909,0.36804,0.00182,0.17186,0.02019,0.19601,0.15201,0.1433,0.16282
15.2631578947368,3,Female,AV Replacement + CAB,0.08107,0.41827,0.00213,0.223,0.02391,0.27605,0.18149,0.13498,0.10204
17.8947368421053,0.8,Male,AV Replacement + CAB,0.02233,0.15496,0.00182,0.07509,0.01212,0.0928,0.02851,0.08721,0.36562
17.8947368421053,0.8,Female,AV Replacement + CAB,0.03109,0.18461,0.00213,0.10094,0.01438,0.13792,0.03503,0.08183,0.25192
17.8947368421053,0.915789473684211,Male,AV Replacement + CAB,0.02349,0.1629,0.00182,0.07849,0.01246,0.09658,0.03125,0.0895,0.35292
17.8947368421053,0.915789473684211,Female,AV Replacement + CAB,0.03269,0.19371,0.00213,0.10538,0.01477,0.14326,0.03837,0.084,0.24166
17.8947368421053,1.03157894736842,Male,AV Replacement + CAB,0.02471,0.17115,0.00182,0.08204,0.0128,0.10051,0.03424,0.09185,0.34042
17.8947368421053,1.03157894736842,Female,AV Replacement + CAB,0.03437,0.20315,0.00213,0.10999,0.01517,0.14876,0.04202,0.08622,0.23169
